,,,,,,ICDataset-ID,,1571,Ratio,1512,,
,,,,,,Name,Total fossil + nuclear,"CO2, fossil",gCO2/MJ,GWP 100a,,
,,,,,,Location,Non renewable,GLO,,GLO,,
,,,,,,Unit,Primary energy,kg,,kg CO2-Eq,,
,,,,,,Ecocat,,selected LCI results,,IPCC 2001,,
,,,,,,Ecosubcat,,air,,climate change,,
Dataset-ID,Name,Location,Unit,Infrastructureprocess,Ecocat,Ecosubcat,MeanValue,MeanValue,,MeanValue,,
124,"pyretroid-compounds, at regional storehouse",RER,kg,0,agricultural means of production,pesticides,497.39,20.835,41.9,21.774,,
125,"pyretroid-compounds, at regional storehouse",CH,kg,0,agricultural means of production,pesticides,483.9,19.034,39.3,19.995,,
126,"pyridazine-compounds, at regional storehouse",RER,kg,0,agricultural means of production,pesticides,135.56,4.676,34.5,4.9404,,
127,"pyridazine-compounds, at regional storehouse",CH,kg,0,agricultural means of production,pesticides,132.3,4.2459,32.1,4.5084,,
128,"triazine-compounds, at regional storehouse",RER,kg,0,agricultural means of production,pesticides,229.91,7.4362,32.3,7.8843,,
129,"triazine-compounds, at regional storehouse",CH,kg,0,agricultural means of production,pesticides,225.58,6.8458,30.3,7.3007,,
130,"barley seed IP, at regional storehouse",CH,kg,0,agricultural means of production,seed,3.47,0.18306,52.8,0.46046,,
131,"barley seed organic, at regional storehouse",CH,kg,0,agricultural means of production,seed,2.88,0.15933,55.3,0.58267,,
132,"clover seed IP, at farm",CH,kg,0,agricultural means of production,seed,20.29,1.0937,53.9,3.3129,,
133,"clover seed IP, at regional storehouse",CH,kg,0,agricultural means of production,seed,22.88,1.2181,53.2,3.4443,,
6975,"cotton seed, at regional storehouse",US,kg,0,agricultural means of production,seed,3.86,0.22245,57.6,0.33815,,
134,"grass seed IP, at farm",CH,kg,0,agricultural means of production,seed,19.98,1.0003,50.1,1.9253,,
135,"grass seed IP, at regional storehouse",CH,kg,0,agricultural means of production,seed,22.58,1.1247,49.8,2.0567,,
6242,"grass seed organic, at regional storehouse",CH,kg,0,agricultural means of production,seed,14.9,0.76837,51.6,1.5222,,
136,"maize seed IP, at farm",CH,kg,0,agricultural means of production,seed,14.62,0.71033,48.6,1.9079,,
137,"maize seed IP, at regional storehouse",CH,kg,0,agricultural means of production,seed,17.17,0.82592,48.1,2.0301,,
138,"maize seed organic, at farm",CH,kg,0,agricultural means of production,seed,11.31,0.54598,48.3,1.2881,,
139,"maize seed organic, at regional storehouse",CH,kg,0,agricultural means of production,seed,13.62,0.65452,48.1,1.4028,,
140,"pea seed IP, at regional storehouse",CH,kg,0,agricultural means of production,seed,6.91,0.34897,50.5,1.1511,,
141,"pea seed organic, at regional storehouse",CH,kg,0,agricultural means of production,seed,6.17,0.32485,52.6,1.1024,,
142,"potato seed IP, at farm",CH,kg,0,agricultural means of production,seed,1.23,0.064667,52.6,0.20459,,
143,"potato seed IP, at regional storehouse",CH,kg,0,agricultural means of production,seed,2.73,0.12288,45,0.26698,,
144,"potato seed organic, at farm",CH,kg,0,agricultural means of production,seed,1.22,0.065213,53.5,0.17192,,
